,image_name,fine_target,coarse_target,fine_fold,coarse_fold
96,manual-skunk007.png,75,12,10,6
97,nematode_s_000034.png,99,13,6,8
98,shark_s_002026.png,73,1,9,9
99,marine_turtle_s_000339.png,93,15,7,7
100,river_otter_s_000028.png,55,0,10,6
101,computer_keyboard_s_000598.png,39,5,4,1
102,castor_fiber_s_000167.png,4,0,8,10
103,timber_wolf_s_000489.png,97,8,5,4
104,dessert_plate_s_000192.png,61,3,3,9
105,turtle_s_000005.png,93,15,7,9
106,mushroom_s_001005.png,51,4,1,6
107,icbm_s_000392.png,69,19,3,4
108,wine_palm_s_000123.png,56,17,7,8
109,breakfast_table_s_000153.png,84,6,6,3
110,pinon_pine_s_001228.png,59,17,5,6
111,didelphis_virginiana_s_000042.png,64,12,3,4
112,armoire_s_000081.png,94,6,9,3
113,beaver_s_001511.png,4,0,2,3
114,boy_s_000081.png,11,14,6,1
115,forest_s_001481.png,33,10,9,4
116,route_s_002291.png,68,9,8,5
117,kangaroo_s_001956.png,38,11,10,1
118,chaise_s_001222.png,20,6,5,10
119,forest_s_000144.png,33,10,7,3
120,fox_s_001040.png,34,12,4,3
121,flatfish_s_000465.png,32,1,1,8
122,man_s_000985.png,46,14,6,9
123,bitter_orange_s_000905.png,53,4,1,9
124,tiger_s_001271.png,88,8,3,6
125,eagle_ray_s_000171.png,67,1,10,5
126,rose_s_001917.png,70,2,7,7
127,possum_s_000350.png,64,12,4,10
128,temple_orange_s_000014.png,53,4,10,2
129,opossum_s_000065.png,64,12,2,2
130,cycle_s_002598.png,8,18,7,5
131,salix_alba_s_000332.png,96,17,6,7
132,television_system_s_001769.png,87,5,1,6
133,dolphin_s_000421.png,30,0,5,1
134,lounge_chair_s_001124.png,20,6,2,1
135,atlantic_bottlenose_dolphin_s_000021.png,30,0,4,9
136,raccoon_s_001121.png,66,12,5,8
137,cattle_s_000366.png,19,11,9,9
138,wtc_s_002253.png,76,9,10,1
139,television_s_000053.png,87,5,5,4
140,oak_tree_s_000106.png,52,17,1,4
141,poppy_s_001932.png,62,2,6,3
142,missy_s_000260.png,35,14,7,1
143,hedgehog_s_000950.png,63,12,6,8
144,discharge_lamp_s_001121.png,40,5,1,3
145,castor_canadensis_s_000795.png,4,0,9,6
146,worm_s_001047.png,99,13,5,7
147,hedgehog_s_000483.png,63,12,9,6
148,masked_shrew_s_000089.png,74,16,3,4
149,sour_orange_s_001216.png,53,4,3,2
150,crab_s_001407.png,26,13,9,10
151,whale_s_000867.png,95,0,10,6
152,minibike_s_000824.png,48,18,3,5
153,nile_crocodile_s_001013.png,27,15,6,6
154,forest_s_001851.png,33,10,3,3
155,dinosaur_s_002033.png,29,15,10,9
156,keyboard_s_001222.png,39,5,3,2
157,argiope_aurantia_s_000308.png,79,13,5,3
158,flounder_s_001779.png,32,1,9,10
159,adam_s_002034.png,46,14,7,3
160,common_opossum_s_000023.png,64,12,6,9
161,chalice_s_001706.png,28,3,4,3
162,tank_s_000640.png,85,19,4,10
163,plaice_s_000550.png,32,1,1,9
164,sunflower_s_000444.png,82,2,2,4
165,snake_s_000451.png,78,15,2,5
166,keyboard_s_000055.png,39,5,8,1
167,orchid_s_000878.png,54,2,1,8
168,cup_s_001227.png,28,3,6,8
169,raccoon_s_002187.png,66,12,9,4
170,rabbit_s_001952.png,65,16,4,1
171,seal_s_001343.png,72,0,8,7
172,chimp_s_002067.png,21,11,6,7
173,opossum_s_001219.png,64,12,8,2
174,poppy_s_001961.png,62,2,7,6
175,seal_s_000038.png,72,0,5,8
176,macoun_s_000065.png,0,4,1,8
177,banded_gecko_s_000650.png,44,15,10,2
178,beetle_s_000229.png,7,7,1,3
179,footbridge_s_000052.png,12,9,10,7
180,cattle_s_001978.png,19,11,6,1
181,male_child_s_000374.png,11,14,4,9
182,elephant_s_002362.png,31,11,6,9
183,saucer_s_001505.png,61,3,8,5
184,spider_s_000009.png,79,13,7,1
185,lobster_s_000715.png,45,13,4,4
186,tram_s_000475.png,81,19,3,2
187,spider_s_000773.png,79,13,3,2
188,black_woman_s_000982.png,98,14,7,2
189,lion_cub_s_000553.png,43,8,6,3
190,man_s_000436.png,46,14,5,2
191,numbfish_s_000023.png,67,1,8,7
192,squirrel_s_001451.png,80,16,10,8
193,divided_highway_s_001338.png,68,9,3,3
194,sorex_araneus_s_000172.png,74,16,10,3
195,motorcycle_s_001856.png,48,18,1,2
196,streetcar_s_001848.png,81,19,10,8
197,wardrobe_s_000359.png,94,6,10,9
198,telephone_set_s_001471.png,86,5,5,2
199,step_rocket_s_000566.png,69,19,9,6
200,keyboard_s_000991.png,39,5,8,3
201,shark_s_000459.png,73,1,8,8
202,baby_s_000449.png,2,14,6,4
203,cain_s_000179.png,46,14,8,8
204,mount_s_000197.png,49,10,3,6
205,hedgehog_s_000032.png,63,12,9,6
206,panthera_leo_s_000716.png,43,8,7,7
207,butterfly_s_000777.png,14,7,4,7
208,alp_s_002103.png,49,10,9,6
209,ring_road_s_000322.png,68,9,2,8
210,rabbit_s_001665.png,65,16,10,6
211,lawn_mower_s_000052.png,41,19,2,6
212,house_s_000992.png,37,9,7,2
213,lobster_s_001705.png,45,13,1,1
214,hamster_s_001834.png,36,16,4,4
215,chimp_s_000280.png,21,11,4,10
216,garden_snail_s_000398.png,77,13,2,6
217,house_s_000333.png,37,9,9,1
218,keyboard_s_001475.png,39,5,7,1
219,bicycle_s_000537.png,8,18,8,1
220,soda_bottle_s_001739.png,9,3,8,1
221,poppy_s_002423.png,62,2,6,5
222,telephone_set_s_000154.png,86,5,2,9
223,computer_keyboard_s_000417.png,39,5,9,2
224,cattle_s_001528.png,19,11,5,10
225,orchid_s_001818.png,54,2,3,3
226,computer_keyboard_s_001353.png,39,5,2,10
227,goblet_s_000234.png,28,3,6,6
228,male_child_s_000659.png,11,14,5,4
229,tractor_s_000753.png,89,19,2,10
230,train_s_002155.png,90,18,10,9
231,train_s_000511.png,90,18,10,1
232,spider_s_001311.png,79,13,3,9
233,racoon_s_000375.png,66,12,8,1
234,tram_s_000405.png,81,19,2,3
235,chimpanzee_s_001180.png,21,11,5,6
236,spider_s_001685.png,79,13,5,2
237,electric_lamp_s_000649.png,40,5,6,3
238,ankylosaurus_s_001671.png,29,15,2,7
239,clock_s_000835.png,22,5,6,8
240,school_bus_s_001438.png,13,18,3,10
241,sofa_s_000004.png,25,6,3,3
242,male_child_s_000924.png,11,14,1,1
243,macropus_giganteus_s_000175.png,38,11,2,7
244,bowl_s_001230.png,10,3,6,2
245,salix_alba_s_000012.png,96,17,3,9
246,orchid_s_000499.png,54,2,8,1
247,rabbit_s_000297.png,65,16,7,6
248,keyboard_s_000032.png,39,5,8,10
249,discharge_lamp_s_000675.png,40,5,6,2
250,leopard_s_001332.png,42,8,2,4
251,moped_s_000169.png,48,18,6,1
252,motorcycle_s_001453.png,48,18,4,3
253,mushroom_s_001593.png,51,4,8,3
254,boy_s_002307.png,11,14,3,1
255,cloud_s_001591.png,23,10,4,7
256,cloud_s_000856.png,23,10,8,2
257,bulldozer_s_001774.png,89,19,7,2
258,shumard_oak_s_000107.png,52,17,8,2
259,man_s_000926.png,46,14,7,2
260,infant_s_000851.png,2,14,5,8
261,bowhead_s_001056.png,95,0,7,6
262,lion_s_001676.png,43,8,2,6
263,telephone_set_s_000659.png,86,5,5,1
264,fox_s_001649.png,34,12,2,9
265,raccoon_s_000598.png,66,12,2,9
266,caterpillar_s_000459.png,18,7,10,9
267,adam_s_002658.png,46,14,7,7
268,raccoon_s_001641.png,66,12,4,8
269,date_palm_s_000159.png,56,17,5,9
270,bartlett_pear_s_000454.png,57,4,6,3
271,cichlid_fish_s_000335.png,1,1,1,7
272,gecko_s_000199.png,44,15,4,10
273,boy_s_001906.png,11,14,1,1
274,sunflower_s_001373.png,82,2,10,6
275,cirrocumulus_cloud_s_000515.png,23,10,9,9
276,railroad_train_s_000200.png,90,18,1,8
277,palm_tree_s_001513.png,56,17,4,7
278,cattle_s_000659.png,19,11,10,3
279,byway_s_000036.png,68,9,5,6
280,raccoon_s_002225.png,66,12,1,5
281,goblet_s_000954.png,28,3,9,6
282,carassius_auratus_s_000432.png,1,1,8,10
283,bosc_s_000204.png,57,4,2,9
284,guitarfish_s_000596.png,67,1,6,4
285,bed_s_001459.png,5,6,6,7
286,bus_s_000314.png,13,18,6,9
287,colubrid_s_000836.png,78,15,4,5
288,bee_s_002016.png,6,7,5,6
289,table_s_000769.png,84,6,10,8
290,beetle_s_000181.png,7,7,10,5
291,mower_s_000031.png,41,19,8,6
292,lapin_s_002229.png,65,16,1,6
293,squirrel_s_000142.png,80,16,10,4
294,drawbridge_s_001392.png,12,9,6,9
295,mus_musculus_s_001086.png,50,16,2,10
296,porcupine_s_001592.png,63,12,7,10
297,dungeness_crab_s_000469.png,26,13,9,9
298,safety_bike_s_000482.png,8,18,7,10
299,navel_orange_s_000469.png,53,4,8,8
300,serengeti_s_001565.png,60,10,4,9
301,roundworm_s_000036.png,99,13,7,2
302,grey_wolf_s_001623.png,97,8,8,4
303,army_tank_s_000896.png,85,19,3,2
304,red_delicious_s_000552.png,0,4,7,3
305,worm_snake_s_000429.png,78,15,5,10
306,elephant_s_002874.png,31,11,9,9
307,bowl_s_000883.png,10,3,9,1
308,baby_s_000255.png,2,14,3,9
309,beetle_s_001769.png,7,7,5,3
310,lion_s_000032.png,43,8,8,7
311,sweet_pepper_s_000638.png,83,4,5,5
312,grey_wolf_s_001289.png,97,8,4,5
313,trout_s_000574.png,91,1,8,2
314,sunflower_s_001720.png,82,2,4,2
315,cup_s_000922.png,28,3,3,6
316,leopard_s_000559.png,42,8,5,10
317,northern_spy_s_000602.png,0,4,2,2
318,sunflower_s_001391.png,82,2,1,7
319,bed_s_001452.png,5,6,6,7
320,divided_highway_s_000832.png,68,9,3,4
321,plain_s_001151.png,60,10,2,3
322,dolphin_s_001674.png,30,0,9,4
323,white_woman_s_000709.png,98,14,7,8
324,sunflower_s_001846.png,82,2,6,8
325,armchair_s_000265.png,20,6,3,9
326,possum_s_000343.png,64,12,7,2
327,raccoon_s_002845.png,66,12,4,5
328,bowl_s_001218.png,10,3,5,3
329,skunk_s_000384.png,75,12,10,9
330,orchid_s_001270.png,54,2,8,4
331,bosc_s_000883.png,57,4,6,8
332,tv_s_002465.png,87,5,3,9
333,raccoon_s_000022.png,66,12,1,3
334,raccoon_s_000090.png,66,12,9,4
335,mako_s_001445.png,73,1,1,8
336,butterfly_orchid_s_001188.png,54,2,5,5
337,panthera_tigris_s_000539.png,88,8,10,9
338,panthera_pardus_s_000246.png,42,8,10,9
339,bungalow_s_000578.png,37,9,7,8
340,squirrel_s_000430.png,80,16,7,1
341,tv_s_000033.png,87,5,6,5
342,bear_s_002131.png,3,8,1,6
343,ankylosaurus_s_000716.png,29,15,3,2
344,lion_s_002042.png,43,8,10,6
345,lift_bridge_s_000070.png,12,9,10,7
346,shark_s_001047.png,73,1,4,1
347,golden_willow_s_000013.png,96,17,6,10
348,cirrocumulus_s_001438.png,23,10,8,3
349,willow_tree_s_001348.png,96,17,3,5
350,breakfast_table_s_000858.png,84,6,5,8
351,oxen_s_001941.png,19,11,3,8
352,poppy_s_000601.png,62,2,6,1
353,northern_spy_s_000766.png,0,4,1,6
354,chimpanzee_s_000577.png,21,11,1,10
355,male_child_s_001502.png,11,14,2,4
356,syrian_hamster_s_001413.png,36,16,7,2
357,opossum_s_001043.png,64,12,3,7
358,world_trade_center_s_001237.png,76,9,4,6
359,field_s_001255.png,60,10,8,5
360,bear_s_000044.png,3,8,4,6
361,squirrel_s_002376.png,80,16,3,6
362,sunflower_s_001415.png,82,2,1,3
363,argiope_aurantia_s_000726.png,79,13,2,2
364,stone_crab_s_001783.png,26,13,8,4
365,lapin_s_002654.png,65,16,1,5
366,seal_s_001016.png,72,0,6,7
367,male_child_s_001512.png,11,14,9,10
368,camelus_dromedarius_s_000230.png,15,11,4,2
369,indian_elephant_s_000094.png,31,11,1,7
370,dirt_bike_s_000124.png,48,18,7,4
371,lift_bridge_s_000903.png,12,9,8,1
372,rainbow_trout_s_000750.png,91,1,5,10
373,aegean_s_000757.png,71,10,8,1
374,television_s_002468.png,87,5,4,1
375,garden_snail_s_000966.png,77,13,10,3
376,dromedary_s_000084.png,15,11,5,4
377,tiger_beetle_s_000921.png,7,7,6,7
378,pickup_s_001180.png,58,18,1,9
379,mushroom_s_002093.png,51,4,10,10
380,river_otter_s_000386.png,55,0,6,2
381,panzer_s_000067.png,85,19,1,7
382,baby_s_002466.png,2,14,9,9
383,bear_s_001647.png,3,8,2,2
384,tractor_s_001465.png,89,19,5,6
385,bowl_s_000101.png,10,3,9,2
386,bear_s_002027.png,3,8,7,2
387,boy_s_000158.png,11,14,7,6
388,reclining_chair_s_000127.png,20,6,2,7
389,manual-beaver034.png,4,0,4,4
390,minibike_s_001863.png,48,18,2,1
391,crocodile_s_002271.png,27,15,7,5
392,minibike_s_001177.png,48,18,5,7
393,beetle_s_001021.png,7,7,3,1
394,stingray_s_002101.png,67,1,10,2
395,bear_cub_s_001016.png,3,8,7,10
396,lapin_s_000097.png,65,16,2,1
397,palm_tree_s_001619.png,56,17,6,2
398,soda_bottle_s_000645.png,9,3,1,9
399,banded_gecko_s_000157.png,44,15,2,1
400,fin_whale_s_000867.png,95,0,4,6
401,cain_s_000459.png,46,14,4,2
402,bell_pepper_s_000991.png,83,4,5,6
403,rushlight_s_000226.png,40,5,3,2
404,pickup_s_001808.png,58,18,5,3
405,surveillance_system_s_001215.png,87,5,8,8
406,pine_tree_s_000025.png,59,17,2,2
407,caterpillar_s_000225.png,18,7,7,8
408,motorcycle_s_001792.png,48,18,2,6
409,built_in_bed_s_000558.png,5,6,1,10
410,tiger_s_000274.png,88,8,4,5
411,dungeness_crab_s_000178.png,26,13,8,3
412,chimp_s_000637.png,21,11,7,3
413,oriental_cockroach_s_001588.png,24,7,9,7
414,valencia_orange_s_000882.png,53,4,4,7
415,causeway_s_000413.png,68,9,4,4
416,mount_s_001947.png,49,10,10,9
417,bulldozer_s_001897.png,89,19,2,9
418,willow_tree_s_001747.png,96,17,6,4
419,lady_tulip_s_000107.png,92,2,10,10
420,tiger_beetle_s_000209.png,7,7,7,2
421,school_bus_s_000236.png,13,18,7,4
422,nematode_s_001472.png,99,13,7,1
423,alp_s_000837.png,49,10,4,5
424,alarm_clock_s_000740.png,22,5,4,8
425,palm_tree_s_000276.png,56,17,3,10
426,stingray_s_001539.png,67,1,7,7
427,minibus_s_001401.png,13,18,2,6
428,wolf_pup_s_001918.png,97,8,8,4
429,apis_mellifera_s_001442.png,6,7,3,8
430,cattle_s_000150.png,19,11,1,3
431,world_trade_center_s_000024.png,76,9,7,1
432,rabbit_s_000039.png,65,16,2,7
433,pop_bottle_s_001263.png,9,3,8,2
434,sea_s_000630.png,71,10,8,10
435,hedgehog_s_001903.png,63,12,4,9
436,adriatic_sea_s_001411.png,71,10,8,1
437,caterpillar_s_001744.png,18,7,7,8
438,river_otter_s_000223.png,55,0,5,6
439,fox_s_001599.png,34,12,6,5
440,caterpillar_s_002191.png,18,7,2,6
441,pearmain_s_000139.png,0,4,8,7
442,date_palm_s_000021.png,56,17,10,6
443,cloud_s_000031.png,23,10,7,10
444,striped_skunk_s_001335.png,75,12,7,1
445,rose_s_000123.png,70,2,7,2
446,hognose_snake_s_000782.png,78,15,1,6
447,lobster_s_001171.png,45,13,8,5
448,raccoon_s_001131.png,66,12,5,2
449,trout_s_001341.png,91,1,3,4
450,couch_s_000195.png,25,6,8,4
451,pickup_s_000169.png,58,18,1,9
452,train_s_001419.png,90,18,6,3
453,pachycephalosaurus_s_001100.png,29,15,6,7
454,byway_s_001933.png,68,9,7,4
455,female_child_s_000940.png,35,14,8,7
456,butterfly_orchid_s_001933.png,54,2,9,7
457,garden_snail_s_001564.png,77,13,2,7
458,timber_wolf_s_001336.png,97,8,7,2
459,red_delicious_s_001189.png,0,4,3,3
460,rose_s_001126.png,70,2,7,9
461,striped_skunk_s_001123.png,75,12,5,10
462,field_s_000442.png,60,10,10,5
463,rabbit_s_001088.png,65,16,3,10
464,bed_s_000680.png,5,6,3,7
465,pickup_s_000872.png,58,18,4,5
466,sunflower_s_000507.png,82,2,8,10
467,alp_s_001957.png,49,10,6,9
468,plate_s_000583.png,61,3,10,4
469,chalice_s_000481.png,28,3,1,10
470,banded_gecko_s_000308.png,44,15,10,2
471,palm_s_001288.png,56,17,8,3
472,sunflower_s_002364.png,82,2,2,7
473,fishplate_s_000122.png,61,3,3,1
474,king_of_beasts_s_001934.png,43,8,9,9
475,reclining_chair_s_001474.png,20,6,8,3
476,kangaroo_s_000337.png,38,11,4,6
477,armoured_combat_vehicle_s_000442.png,85,19,9,3
478,tv_s_000971.png,87,5,1,5
479,mount_s_001367.png,49,10,3,6
480,armored_combat_vehicle_s_000092.png,85,19,4,1
481,oriental_cockroach_s_000660.png,24,7,2,3
482,beetle_s_000140.png,7,7,7,4
483,panthera_tigris_s_000518.png,88,8,5,6
484,discharge_lamp_s_001205.png,40,5,2,10
485,kangaroo_s_002432.png,38,11,9,6
486,seal_s_001302.png,72,0,1,10
487,oil_palm_s_000902.png,56,17,6,3
488,beaver_s_000300.png,4,0,4,5
489,streetcar_s_001199.png,81,19,4,8
490,black_woman_s_000361.png,98,14,8,8
491,wolf_pup_s_001346.png,97,8,4,4
492,butterfly_s_001034.png,14,7,1,6
493,man_s_001512.png,46,14,2,3
494,cirrostratus_s_000880.png,23,10,4,5
495,tractor_s_000670.png,89,19,7,3
496,phone_s_002177.png,86,5,3,10
497,bell_pepper_s_000521.png,83,4,2,10
498,orchid_s_001494.png,54,2,8,9
499,crocodylus_niloticus_s_000031.png,27,15,6,1
500,motor_mower_s_000278.png,41,19,9,10
501,willow_tree_s_002039.png,96,17,3,2
502,carassius_auratus_s_000240.png,1,1,7,4
503,streetcar_s_001216.png,81,19,3,4
504,spider_s_002036.png,79,13,10,5
505,dolphin_s_001789.png,30,0,2,5
506,castle_s_002549.png,17,9,9,8
507,mourning_cloak_s_000845.png,14,7,4,6
508,guitarfish_s_000177.png,67,1,9,2
509,recliner_s_001853.png,20,6,6,2
510,butterfly_orchid_s_000220.png,54,2,9,10
511,tulip_s_001088.png,92,2,3,10
512,forest_s_000628.png,33,10,4,7
513,bartlett_s_000802.png,57,4,9,9
514,rabbit_s_001687.png,65,16,1,9
515,alp_s_000839.png,49,10,2,3
516,adriatic_sea_s_002055.png,71,10,7,4
517,pine_tree_s_001493.png,59,17,3,7
518,army_tank_s_000588.png,85,19,2,9
519,clock_s_002353.png,22,5,9,6
520,indian_elephant_s_000201.png,31,11,5,4
521,panzer_s_000006.png,85,19,9,4
522,palace_s_001469.png,17,9,3,8
523,panthera_pardus_s_000718.png,42,8,9,7
524,poppy_s_000707.png,62,2,7,4
525,crab_s_001193.png,26,13,2,8
526,field_s_001814.png,60,10,5,4
527,nile_crocodile_s_001648.png,27,15,9,5
528,anjou_s_000404.png,57,4,8,8
529,oxen_s_001496.png,19,11,8,6
530,wolf_cub_s_001051.png,97,8,10,9
531,tiger_s_000719.png,88,8,5,6
532,bowl_s_000643.png,10,3,7,9
533,elephant_s_002867.png,31,11,8,10
534,cloud_s_000879.png,23,10,9,8
535,table_s_002781.png,84,6,10,1
536,shrew_s_000446.png,74,16,3,6
537,porcupine_s_000275.png,63,12,10,4
538,armoire_s_000304.png,94,6,7,3
539,snail_s_002283.png,77,13,10,3
540,train_s_001132.png,90,18,4,9
541,field_s_001105.png,60,10,5,7
542,bed_s_001805.png,5,6,8,7
543,cichlid_fish_s_000840.png,1,1,6,2
544,saucer_s_000150.png,61,3,7,1
545,right_whale_s_000132.png,95,0,10,7
546,plaice_s_000350.png,32,1,3,3
547,balaenoptera_physalus_s_000007.png,95,0,2,10
548,pear_s_001156.png,57,4,7,2
549,plaice_s_000110.png,32,1,10,4
550,cirrostratus_s_000901.png,23,10,10,9
551,computer_keyboard_s_002296.png,39,5,5,6
552,lobster_s_002082.png,45,13,9,1
553,lawn_mower_s_000203.png,41,19,6,2
554,research_rocket_s_000047.png,69,19,3,10
555,tractor_s_001897.png,89,19,10,1
556,lobster_s_000076.png,45,13,9,2
557,silver_maple_s_001252.png,47,17,5,2
558,bartlett_pear_s_000444.png,57,4,10,5
559,boy_s_002179.png,11,14,4,7
560,minibike_s_001969.png,48,18,8,9
561,shrew_s_001585.png,74,16,9,3
562,baby_s_001993.png,2,14,3,10
563,boy_s_001803.png,11,14,2,1
564,balaenoptera_physalus_s_000115.png,95,0,10,2
565,field_mouse_s_000921.png,50,16,8,10
566,house_s_000981.png,37,9,2,9
567,pine_s_000436.png,59,17,10,5
568,adriatic_s_002852.png,71,10,1,4
569,breakfast_table_s_001147.png,84,6,5,4
570,dozer_s_000609.png,89,19,7,4
571,breakfast_table_s_001484.png,84,6,9,10
572,rose_s_001319.png,70,2,1,10
573,soda_can_s_000473.png,16,3,1,10
574,adriatic_sea_s_000597.png,71,10,7,2
575,velocipede_s_001585.png,8,18,1,7
576,moped_s_000035.png,48,18,5,1
577,elephant_s_002404.png,31,11,8,10
578,eve_s_000004.png,98,14,1,4
579,plaice_s_000047.png,32,1,4,9
580,baby_s_002128.png,2,14,5,2
581,water_shrew_s_000191.png,74,16,9,2
582,poppy_s_001264.png,62,2,9,3
583,sea_s_002165.png,71,10,9,2
584,train_s_001394.png,90,18,10,3
585,red_fox_s_000435.png,34,12,8,10
586,disciotis_venosa_s_000196.png,51,4,7,6
587,macoun_s_000441.png,0,4,6,1
588,lift_bridge_s_000420.png,12,9,3,6
589,crab_s_002209.png,26,13,9,7
590,bartlett_pear_s_000233.png,57,4,10,4
591,poppy_s_001733.png,62,2,3,9
592,bartlett_pear_s_000472.png,57,4,1,3
593,indian_elephant_s_000796.png,31,11,8,10
594,rabbit_s_001146.png,65,16,10,10
595,yellowtail_flounder_s_000243.png,32,1,2,9
596,coffee_can_s_001622.png,16,3,1,1
597,little_girl_s_000041.png,35,14,3,1
598,black_woman_s_001350.png,98,14,2,1
599,male_child_s_001793.png,11,14,5,1
600,tv_s_001357.png,87,5,1,5
601,kangaroo_s_002285.png,38,11,9,2
602,oak_tree_s_000047.png,52,17,5,7
603,bulldozer_s_000838.png,89,19,3,8
604,discharge_lamp_s_001516.png,40,5,5,8
605,wtc_s_002086.png,76,9,6,7
606,tiger_beetle_s_000003.png,7,7,8,5
607,butterfly_orchid_s_000865.png,54,2,4,5
608,skyscraper_s_001185.png,76,9,3,9
609,delphinus_delphis_s_000307.png,30,0,3,2
610,pine_tree_s_001916.png,59,17,3,9
611,breakfast_table_s_001115.png,84,6,8,4
612,bear_cub_s_000055.png,3,8,6,2
613,rainbow_trout_s_001311.png,91,1,7,6
614,man_s_001569.png,46,14,5,8
615,lapin_s_000175.png,65,16,9,10
616,lion_s_001571.png,43,8,4,2
617,mount_s_002677.png,49,10,7,2
618,apis_mellifera_s_000067.png,6,7,9,10
619,forest_s_001829.png,33,10,3,7
620,bunk_s_000515.png,5,6,8,4
621,butterfly_s_001030.png,14,7,4,6
622,garden_snail_s_001207.png,77,13,6,10
623,flying_gecko_s_000107.png,44,15,2,6
624,byway_s_001963.png,68,9,7,10
625,sunflower_s_001371.png,82,2,8,9
626,wardrobe_s_000411.png,94,6,7,3
627,raccoon_s_002036.png,66,12,1,1
628,shark_s_001677.png,73,1,1,5
629,palm_tree_s_002039.png,56,17,8,5
630,dozer_s_000602.png,89,19,4,4
631,valencia_orange_s_000296.png,53,4,9,6
