,image_name,fine_target,coarse_target
102,castor_fiber_s_000167.png,4,0
103,timber_wolf_s_000489.png,97,8
104,dessert_plate_s_000192.png,61,3
105,turtle_s_000005.png,93,15
106,mushroom_s_001005.png,51,4
107,icbm_s_000392.png,69,19
108,wine_palm_s_000123.png,56,17
109,breakfast_table_s_000153.png,84,6
110,pinon_pine_s_001228.png,59,17
111,didelphis_virginiana_s_000042.png,64,12
112,armoire_s_000081.png,94,6
113,beaver_s_001511.png,4,0
114,boy_s_000081.png,11,14
115,forest_s_001481.png,33,10
116,route_s_002291.png,68,9
117,kangaroo_s_001956.png,38,11
118,chaise_s_001222.png,20,6
119,forest_s_000144.png,33,10
120,fox_s_001040.png,34,12
121,flatfish_s_000465.png,32,1
122,man_s_000985.png,46,14
123,bitter_orange_s_000905.png,53,4
124,tiger_s_001271.png,88,8
125,eagle_ray_s_000171.png,67,1
126,rose_s_001917.png,70,2
127,possum_s_000350.png,64,12
128,temple_orange_s_000014.png,53,4
129,opossum_s_000065.png,64,12
130,cycle_s_002598.png,8,18
131,salix_alba_s_000332.png,96,17
132,television_system_s_001769.png,87,5
133,dolphin_s_000421.png,30,0
134,lounge_chair_s_001124.png,20,6
135,atlantic_bottlenose_dolphin_s_000021.png,30,0
136,raccoon_s_001121.png,66,12
137,cattle_s_000366.png,19,11
138,wtc_s_002253.png,76,9
139,television_s_000053.png,87,5
140,oak_tree_s_000106.png,52,17
141,poppy_s_001932.png,62,2
142,missy_s_000260.png,35,14
143,hedgehog_s_000950.png,63,12
144,discharge_lamp_s_001121.png,40,5
145,castor_canadensis_s_000795.png,4,0
146,worm_s_001047.png,99,13
147,hedgehog_s_000483.png,63,12
148,masked_shrew_s_000089.png,74,16
149,sour_orange_s_001216.png,53,4
150,crab_s_001407.png,26,13
151,whale_s_000867.png,95,0
152,minibike_s_000824.png,48,18
153,nile_crocodile_s_001013.png,27,15
154,forest_s_001851.png,33,10
155,dinosaur_s_002033.png,29,15
156,keyboard_s_001222.png,39,5
157,argiope_aurantia_s_000308.png,79,13
158,flounder_s_001779.png,32,1
159,adam_s_002034.png,46,14
160,common_opossum_s_000023.png,64,12
161,chalice_s_001706.png,28,3
162,tank_s_000640.png,85,19
163,plaice_s_000550.png,32,1
164,sunflower_s_000444.png,82,2
165,snake_s_000451.png,78,15
166,keyboard_s_000055.png,39,5
167,orchid_s_000878.png,54,2
168,cup_s_001227.png,28,3
169,raccoon_s_002187.png,66,12
170,rabbit_s_001952.png,65,16
171,seal_s_001343.png,72,0
172,chimp_s_002067.png,21,11
173,opossum_s_001219.png,64,12
174,poppy_s_001961.png,62,2
175,seal_s_000038.png,72,0
176,macoun_s_000065.png,0,4
177,banded_gecko_s_000650.png,44,15
178,beetle_s_000229.png,7,7
179,footbridge_s_000052.png,12,9
180,cattle_s_001978.png,19,11
181,male_child_s_000374.png,11,14
182,elephant_s_002362.png,31,11
183,saucer_s_001505.png,61,3
184,spider_s_000009.png,79,13
185,lobster_s_000715.png,45,13
186,tram_s_000475.png,81,19
187,spider_s_000773.png,79,13
188,black_woman_s_000982.png,98,14
189,lion_cub_s_000553.png,43,8
190,man_s_000436.png,46,14
191,numbfish_s_000023.png,67,1
192,squirrel_s_001451.png,80,16
193,divided_highway_s_001338.png,68,9
194,sorex_araneus_s_000172.png,74,16
195,motorcycle_s_001856.png,48,18
196,streetcar_s_001848.png,81,19
197,wardrobe_s_000359.png,94,6
198,telephone_set_s_001471.png,86,5
199,step_rocket_s_000566.png,69,19
200,keyboard_s_000991.png,39,5
201,shark_s_000459.png,73,1
202,baby_s_000449.png,2,14
203,cain_s_000179.png,46,14
204,mount_s_000197.png,49,10
205,hedgehog_s_000032.png,63,12
206,panthera_leo_s_000716.png,43,8
207,butterfly_s_000777.png,14,7
208,alp_s_002103.png,49,10
209,ring_road_s_000322.png,68,9
210,rabbit_s_001665.png,65,16
211,lawn_mower_s_000052.png,41,19
212,house_s_000992.png,37,9
213,lobster_s_001705.png,45,13
214,hamster_s_001834.png,36,16
215,chimp_s_000280.png,21,11
216,garden_snail_s_000398.png,77,13
217,house_s_000333.png,37,9
218,keyboard_s_001475.png,39,5
219,bicycle_s_000537.png,8,18
220,soda_bottle_s_001739.png,9,3
221,poppy_s_002423.png,62,2
222,telephone_set_s_000154.png,86,5
223,computer_keyboard_s_000417.png,39,5
224,cattle_s_001528.png,19,11
225,orchid_s_001818.png,54,2
226,computer_keyboard_s_001353.png,39,5
227,goblet_s_000234.png,28,3
228,male_child_s_000659.png,11,14
229,tractor_s_000753.png,89,19
230,train_s_002155.png,90,18
231,train_s_000511.png,90,18
232,spider_s_001311.png,79,13
233,racoon_s_000375.png,66,12
234,tram_s_000405.png,81,19
235,chimpanzee_s_001180.png,21,11
236,spider_s_001685.png,79,13
237,electric_lamp_s_000649.png,40,5
238,ankylosaurus_s_001671.png,29,15
239,clock_s_000835.png,22,5
240,school_bus_s_001438.png,13,18
241,sofa_s_000004.png,25,6
242,male_child_s_000924.png,11,14
243,macropus_giganteus_s_000175.png,38,11
244,bowl_s_001230.png,10,3
245,salix_alba_s_000012.png,96,17
246,orchid_s_000499.png,54,2
247,rabbit_s_000297.png,65,16
248,keyboard_s_000032.png,39,5
249,discharge_lamp_s_000675.png,40,5
250,leopard_s_001332.png,42,8
251,moped_s_000169.png,48,18
252,motorcycle_s_001453.png,48,18
253,mushroom_s_001593.png,51,4
254,boy_s_002307.png,11,14
255,cloud_s_001591.png,23,10
256,cloud_s_000856.png,23,10
257,bulldozer_s_001774.png,89,19
258,shumard_oak_s_000107.png,52,17
259,man_s_000926.png,46,14
260,infant_s_000851.png,2,14
261,bowhead_s_001056.png,95,0
262,lion_s_001676.png,43,8
263,telephone_set_s_000659.png,86,5
264,fox_s_001649.png,34,12
265,raccoon_s_000598.png,66,12
266,caterpillar_s_000459.png,18,7
267,adam_s_002658.png,46,14
268,raccoon_s_001641.png,66,12
269,date_palm_s_000159.png,56,17
270,bartlett_pear_s_000454.png,57,4
271,cichlid_fish_s_000335.png,1,1
272,gecko_s_000199.png,44,15
273,boy_s_001906.png,11,14
274,sunflower_s_001373.png,82,2
275,cirrocumulus_cloud_s_000515.png,23,10
276,railroad_train_s_000200.png,90,18
277,palm_tree_s_001513.png,56,17
278,cattle_s_000659.png,19,11
279,byway_s_000036.png,68,9
280,raccoon_s_002225.png,66,12
281,goblet_s_000954.png,28,3
282,carassius_auratus_s_000432.png,1,1
283,bosc_s_000204.png,57,4
284,guitarfish_s_000596.png,67,1
285,bed_s_001459.png,5,6
286,bus_s_000314.png,13,18
287,colubrid_s_000836.png,78,15
288,bee_s_002016.png,6,7
289,table_s_000769.png,84,6
290,beetle_s_000181.png,7,7
291,mower_s_000031.png,41,19
292,lapin_s_002229.png,65,16
293,squirrel_s_000142.png,80,16
294,drawbridge_s_001392.png,12,9
295,mus_musculus_s_001086.png,50,16
296,porcupine_s_001592.png,63,12
297,dungeness_crab_s_000469.png,26,13
298,safety_bike_s_000482.png,8,18
299,navel_orange_s_000469.png,53,4
300,serengeti_s_001565.png,60,10
301,roundworm_s_000036.png,99,13
302,grey_wolf_s_001623.png,97,8
303,army_tank_s_000896.png,85,19
304,red_delicious_s_000552.png,0,4
305,worm_snake_s_000429.png,78,15
306,elephant_s_002874.png,31,11
307,bowl_s_000883.png,10,3
308,baby_s_000255.png,2,14
309,beetle_s_001769.png,7,7
310,lion_s_000032.png,43,8
311,sweet_pepper_s_000638.png,83,4
312,grey_wolf_s_001289.png,97,8
313,trout_s_000574.png,91,1
314,sunflower_s_001720.png,82,2
315,cup_s_000922.png,28,3
316,leopard_s_000559.png,42,8
317,northern_spy_s_000602.png,0,4
318,sunflower_s_001391.png,82,2
319,bed_s_001452.png,5,6
320,divided_highway_s_000832.png,68,9
321,plain_s_001151.png,60,10
322,dolphin_s_001674.png,30,0
323,white_woman_s_000709.png,98,14
324,sunflower_s_001846.png,82,2
325,armchair_s_000265.png,20,6
326,possum_s_000343.png,64,12
327,raccoon_s_002845.png,66,12
328,bowl_s_001218.png,10,3
329,skunk_s_000384.png,75,12
330,orchid_s_001270.png,54,2
331,bosc_s_000883.png,57,4
332,tv_s_002465.png,87,5
333,raccoon_s_000022.png,66,12
334,raccoon_s_000090.png,66,12
335,mako_s_001445.png,73,1
336,butterfly_orchid_s_001188.png,54,2
337,panthera_tigris_s_000539.png,88,8
338,panthera_pardus_s_000246.png,42,8
339,bungalow_s_000578.png,37,9
340,squirrel_s_000430.png,80,16
341,tv_s_000033.png,87,5
342,bear_s_002131.png,3,8
343,ankylosaurus_s_000716.png,29,15
344,lion_s_002042.png,43,8
345,lift_bridge_s_000070.png,12,9
346,shark_s_001047.png,73,1
347,golden_willow_s_000013.png,96,17
348,cirrocumulus_s_001438.png,23,10
349,willow_tree_s_001348.png,96,17
350,breakfast_table_s_000858.png,84,6
351,oxen_s_001941.png,19,11
352,poppy_s_000601.png,62,2
353,northern_spy_s_000766.png,0,4
354,chimpanzee_s_000577.png,21,11
355,male_child_s_001502.png,11,14
356,syrian_hamster_s_001413.png,36,16
357,opossum_s_001043.png,64,12
358,world_trade_center_s_001237.png,76,9
359,field_s_001255.png,60,10
360,bear_s_000044.png,3,8
361,squirrel_s_002376.png,80,16
362,sunflower_s_001415.png,82,2
363,argiope_aurantia_s_000726.png,79,13
364,stone_crab_s_001783.png,26,13
365,lapin_s_002654.png,65,16
366,seal_s_001016.png,72,0
367,male_child_s_001512.png,11,14
368,camelus_dromedarius_s_000230.png,15,11
369,indian_elephant_s_000094.png,31,11
370,dirt_bike_s_000124.png,48,18
371,lift_bridge_s_000903.png,12,9
372,rainbow_trout_s_000750.png,91,1
373,aegean_s_000757.png,71,10
374,television_s_002468.png,87,5
375,garden_snail_s_000966.png,77,13
376,dromedary_s_000084.png,15,11
377,tiger_beetle_s_000921.png,7,7
378,pickup_s_001180.png,58,18
379,mushroom_s_002093.png,51,4
380,river_otter_s_000386.png,55,0
381,panzer_s_000067.png,85,19
382,baby_s_002466.png,2,14
383,bear_s_001647.png,3,8
384,tractor_s_001465.png,89,19
385,bowl_s_000101.png,10,3
386,bear_s_002027.png,3,8
387,boy_s_000158.png,11,14
388,reclining_chair_s_000127.png,20,6
389,manual-beaver034.png,4,0
390,minibike_s_001863.png,48,18
391,crocodile_s_002271.png,27,15
392,minibike_s_001177.png,48,18
393,beetle_s_001021.png,7,7
394,stingray_s_002101.png,67,1
395,bear_cub_s_001016.png,3,8
396,lapin_s_000097.png,65,16
397,palm_tree_s_001619.png,56,17
398,soda_bottle_s_000645.png,9,3
399,banded_gecko_s_000157.png,44,15
400,fin_whale_s_000867.png,95,0
401,cain_s_000459.png,46,14
402,bell_pepper_s_000991.png,83,4
403,rushlight_s_000226.png,40,5
404,pickup_s_001808.png,58,18
405,surveillance_system_s_001215.png,87,5
406,pine_tree_s_000025.png,59,17
407,caterpillar_s_000225.png,18,7
408,motorcycle_s_001792.png,48,18
409,built_in_bed_s_000558.png,5,6
410,tiger_s_000274.png,88,8
411,dungeness_crab_s_000178.png,26,13
412,chimp_s_000637.png,21,11
413,oriental_cockroach_s_001588.png,24,7
414,valencia_orange_s_000882.png,53,4
415,causeway_s_000413.png,68,9
416,mount_s_001947.png,49,10
417,bulldozer_s_001897.png,89,19
418,willow_tree_s_001747.png,96,17
419,lady_tulip_s_000107.png,92,2
420,tiger_beetle_s_000209.png,7,7
421,school_bus_s_000236.png,13,18
422,nematode_s_001472.png,99,13
423,alp_s_000837.png,49,10
424,alarm_clock_s_000740.png,22,5
425,palm_tree_s_000276.png,56,17
426,stingray_s_001539.png,67,1
427,minibus_s_001401.png,13,18
428,wolf_pup_s_001918.png,97,8
429,apis_mellifera_s_001442.png,6,7
430,cattle_s_000150.png,19,11
431,world_trade_center_s_000024.png,76,9
432,rabbit_s_000039.png,65,16
433,pop_bottle_s_001263.png,9,3
434,sea_s_000630.png,71,10
435,hedgehog_s_001903.png,63,12
436,adriatic_sea_s_001411.png,71,10
437,caterpillar_s_001744.png,18,7
438,river_otter_s_000223.png,55,0
439,fox_s_001599.png,34,12
440,caterpillar_s_002191.png,18,7
441,pearmain_s_000139.png,0,4
442,date_palm_s_000021.png,56,17
443,cloud_s_000031.png,23,10
444,striped_skunk_s_001335.png,75,12
445,rose_s_000123.png,70,2
446,hognose_snake_s_000782.png,78,15
447,lobster_s_001171.png,45,13
448,raccoon_s_001131.png,66,12
449,trout_s_001341.png,91,1
450,couch_s_000195.png,25,6
451,pickup_s_000169.png,58,18
452,train_s_001419.png,90,18
453,pachycephalosaurus_s_001100.png,29,15
454,byway_s_001933.png,68,9
455,female_child_s_000940.png,35,14
456,butterfly_orchid_s_001933.png,54,2
457,garden_snail_s_001564.png,77,13
458,timber_wolf_s_001336.png,97,8
459,red_delicious_s_001189.png,0,4
460,rose_s_001126.png,70,2
461,striped_skunk_s_001123.png,75,12
462,field_s_000442.png,60,10
463,rabbit_s_001088.png,65,16
464,bed_s_000680.png,5,6
465,pickup_s_000872.png,58,18
466,sunflower_s_000507.png,82,2
467,alp_s_001957.png,49,10
468,plate_s_000583.png,61,3
469,chalice_s_000481.png,28,3
470,banded_gecko_s_000308.png,44,15
471,palm_s_001288.png,56,17
472,sunflower_s_002364.png,82,2
473,fishplate_s_000122.png,61,3
474,king_of_beasts_s_001934.png,43,8
475,reclining_chair_s_001474.png,20,6
476,kangaroo_s_000337.png,38,11
477,armoured_combat_vehicle_s_000442.png,85,19
478,tv_s_000971.png,87,5
479,mount_s_001367.png,49,10
480,armored_combat_vehicle_s_000092.png,85,19
481,oriental_cockroach_s_000660.png,24,7
482,beetle_s_000140.png,7,7
483,panthera_tigris_s_000518.png,88,8
484,discharge_lamp_s_001205.png,40,5
485,kangaroo_s_002432.png,38,11
486,seal_s_001302.png,72,0
487,oil_palm_s_000902.png,56,17
488,beaver_s_000300.png,4,0
489,streetcar_s_001199.png,81,19
490,black_woman_s_000361.png,98,14
491,wolf_pup_s_001346.png,97,8
492,butterfly_s_001034.png,14,7
493,man_s_001512.png,46,14
494,cirrostratus_s_000880.png,23,10
495,tractor_s_000670.png,89,19
496,phone_s_002177.png,86,5
497,bell_pepper_s_000521.png,83,4
498,orchid_s_001494.png,54,2
499,crocodylus_niloticus_s_000031.png,27,15
500,motor_mower_s_000278.png,41,19
501,willow_tree_s_002039.png,96,17
502,carassius_auratus_s_000240.png,1,1
503,streetcar_s_001216.png,81,19
504,spider_s_002036.png,79,13
505,dolphin_s_001789.png,30,0
506,castle_s_002549.png,17,9
507,mourning_cloak_s_000845.png,14,7
508,guitarfish_s_000177.png,67,1
509,recliner_s_001853.png,20,6
510,butterfly_orchid_s_000220.png,54,2
511,tulip_s_001088.png,92,2
512,forest_s_000628.png,33,10
513,bartlett_s_000802.png,57,4
514,rabbit_s_001687.png,65,16
515,alp_s_000839.png,49,10
516,adriatic_sea_s_002055.png,71,10
517,pine_tree_s_001493.png,59,17
518,army_tank_s_000588.png,85,19
519,clock_s_002353.png,22,5
520,indian_elephant_s_000201.png,31,11
521,panzer_s_000006.png,85,19
522,palace_s_001469.png,17,9
523,panthera_pardus_s_000718.png,42,8
524,poppy_s_000707.png,62,2
525,crab_s_001193.png,26,13
526,field_s_001814.png,60,10
527,nile_crocodile_s_001648.png,27,15
528,anjou_s_000404.png,57,4
529,oxen_s_001496.png,19,11
530,wolf_cub_s_001051.png,97,8
531,tiger_s_000719.png,88,8
532,bowl_s_000643.png,10,3
533,elephant_s_002867.png,31,11
534,cloud_s_000879.png,23,10
535,table_s_002781.png,84,6
536,shrew_s_000446.png,74,16
537,porcupine_s_000275.png,63,12
538,armoire_s_000304.png,94,6
539,snail_s_002283.png,77,13
540,train_s_001132.png,90,18
541,field_s_001105.png,60,10
542,bed_s_001805.png,5,6
543,cichlid_fish_s_000840.png,1,1
544,saucer_s_000150.png,61,3
545,right_whale_s_000132.png,95,0
546,plaice_s_000350.png,32,1
547,balaenoptera_physalus_s_000007.png,95,0
548,pear_s_001156.png,57,4
549,plaice_s_000110.png,32,1
550,cirrostratus_s_000901.png,23,10
551,computer_keyboard_s_002296.png,39,5
552,lobster_s_002082.png,45,13
553,lawn_mower_s_000203.png,41,19
554,research_rocket_s_000047.png,69,19
555,tractor_s_001897.png,89,19
556,lobster_s_000076.png,45,13
557,silver_maple_s_001252.png,47,17
558,bartlett_pear_s_000444.png,57,4
559,boy_s_002179.png,11,14
560,minibike_s_001969.png,48,18
561,shrew_s_001585.png,74,16
562,baby_s_001993.png,2,14
563,boy_s_001803.png,11,14
564,balaenoptera_physalus_s_000115.png,95,0
565,field_mouse_s_000921.png,50,16
566,house_s_000981.png,37,9
567,pine_s_000436.png,59,17
568,adriatic_s_002852.png,71,10
569,breakfast_table_s_001147.png,84,6
570,dozer_s_000609.png,89,19
571,breakfast_table_s_001484.png,84,6
572,rose_s_001319.png,70,2
573,soda_can_s_000473.png,16,3
574,adriatic_sea_s_000597.png,71,10
575,velocipede_s_001585.png,8,18
576,moped_s_000035.png,48,18
577,elephant_s_002404.png,31,11
578,eve_s_000004.png,98,14
579,plaice_s_000047.png,32,1
580,baby_s_002128.png,2,14
581,water_shrew_s_000191.png,74,16
582,poppy_s_001264.png,62,2
583,sea_s_002165.png,71,10
584,train_s_001394.png,90,18
585,red_fox_s_000435.png,34,12
586,disciotis_venosa_s_000196.png,51,4
587,macoun_s_000441.png,0,4
588,lift_bridge_s_000420.png,12,9
589,crab_s_002209.png,26,13
590,bartlett_pear_s_000233.png,57,4
591,poppy_s_001733.png,62,2
592,bartlett_pear_s_000472.png,57,4
593,indian_elephant_s_000796.png,31,11
594,rabbit_s_001146.png,65,16
595,yellowtail_flounder_s_000243.png,32,1
596,coffee_can_s_001622.png,16,3
597,little_girl_s_000041.png,35,14
598,black_woman_s_001350.png,98,14
599,male_child_s_001793.png,11,14
600,tv_s_001357.png,87,5
601,kangaroo_s_002285.png,38,11
602,oak_tree_s_000047.png,52,17
603,bulldozer_s_000838.png,89,19
604,discharge_lamp_s_001516.png,40,5
605,wtc_s_002086.png,76,9
606,tiger_beetle_s_000003.png,7,7
607,butterfly_orchid_s_000865.png,54,2
608,skyscraper_s_001185.png,76,9
609,delphinus_delphis_s_000307.png,30,0
610,pine_tree_s_001916.png,59,17
611,breakfast_table_s_001115.png,84,6
612,bear_cub_s_000055.png,3,8
613,rainbow_trout_s_001311.png,91,1
614,man_s_001569.png,46,14
615,lapin_s_000175.png,65,16
616,lion_s_001571.png,43,8
617,mount_s_002677.png,49,10
618,apis_mellifera_s_000067.png,6,7
619,forest_s_001829.png,33,10
620,bunk_s_000515.png,5,6
621,butterfly_s_001030.png,14,7
622,garden_snail_s_001207.png,77,13
623,flying_gecko_s_000107.png,44,15
624,byway_s_001963.png,68,9
625,sunflower_s_001371.png,82,2
626,wardrobe_s_000411.png,94,6
627,raccoon_s_002036.png,66,12
628,shark_s_001677.png,73,1
629,palm_tree_s_002039.png,56,17
630,dozer_s_000602.png,89,19
631,valencia_orange_s_000296.png,53,4
632,clock_s_002064.png,22,5
633,test_rocket_s_000008.png,69,19
634,brown_snail_s_000254.png,77,13
635,breakfast_table_s_000906.png,84,6
636,lounge_chair_s_000324.png,20,6
637,black_woman_s_000116.png,98,14
638,castor_fiber_s_000296.png,4,0
639,exocet_s_000171.png,69,19
640,spider_s_001955.png,79,13
641,lamp_s_001826.png,40,5
642,lobster_s_000381.png,45,13
643,cichlid_fish_s_000302.png,1,1
644,feather_palm_s_000112.png,56,17
645,lapin_s_000922.png,65,16
646,verpa_s_000264.png,51,4
647,bed_s_001238.png,5,6
648,squirrel_s_002181.png,80,16
649,orchid_s_000751.png,54,2
650,dwarf_tulip_s_000093.png,92,2
651,castor_fiber_s_000472.png,4,0
652,cirrocumulus_cloud_s_000273.png,23,10
653,field_s_000026.png,60,10
654,streetcar_s_002138.png,81,19
655,snail_s_000896.png,77,13
656,shark_s_002270.png,73,1
657,black_woman_s_000156.png,98,14
658,red_delicious_s_000750.png,0,4
659,butterfly_s_000833.png,14,7
660,jug_s_000102.png,9,3
661,gecko_s_000722.png,44,15
662,crocodile_s_000007.png,27,15
663,bike_s_000256.png,8,18
664,panthera_leo_s_001721.png,43,8
665,neomys_fodiens_s_000035.png,74,16
666,cain_s_000133.png,46,14
667,wardrobe_s_001407.png,94,6
668,desk_phone_s_000500.png,86,5
669,dolphin_s_000768.png,30,0
670,dessert_plate_s_000127.png,61,3
671,bartlett_pear_s_000211.png,57,4
672,male_child_s_000715.png,11,14
673,streetcar_s_001157.png,81,19
674,sofa_s_000606.png,25,6
675,streetcar_s_001417.png,81,19
676,rose_s_000222.png,70,2
677,stegosaurus_s_001600.png,29,15
678,crocodylus_niloticus_s_000032.png,27,15
679,bear_s_001186.png,3,8
680,adriatic_sea_s_000395.png,71,10
681,tangerine_s_000443.png,53,4
682,minibike_s_000571.png,48,18
683,cattle_s_000459.png,19,11
684,squirrel_s_002089.png,80,16
685,bartlett_s_000838.png,57,4
686,cattle_s_000041.png,19,11
687,pine_s_002190.png,59,17
688,sofa_s_000047.png,25,6
689,wine_palm_s_000179.png,56,17
690,sorex_cinereus_s_000002.png,74,16
691,turbot_s_001406.png,32,1
692,bachelor_girl_s_000898.png,98,14
693,bungalow_s_000445.png,37,9
694,school_bus_s_000957.png,13,18
695,lobster_s_001195.png,45,13
696,lift_bridge_s_000096.png,12,9
697,squirrel_s_001608.png,80,16
698,opossum_s_001254.png,64,12
699,milk_can_s_000439.png,16,3
700,buckingham_palace_s_001586.png,17,9
701,oriental_cockroach_s_000825.png,24,7
702,dolphin_s_002246.png,30,0
703,sofa_s_000373.png,25,6
704,willow_tree_s_000241.png,96,17
705,boardinghouse_s_000788.png,37,9
706,built_in_bed_s_002088.png,5,6
707,woman_s_000118.png,98,14
708,indian_elephant_s_000126.png,31,11
709,armoire_s_000119.png,94,6
710,bed_s_000049.png,5,6
711,stegosaurus_s_000500.png,29,15
712,raccoon_s_000790.png,66,12
713,mushroom_s_000703.png,51,4
714,apis_mellifera_s_000192.png,6,7
715,stingray_s_000665.png,67,1
716,mus_musculus_s_000516.png,50,16
717,access_road_s_001516.png,68,9
718,crocodylus_porosus_s_000279.png,27,15
719,poppy_s_001782.png,62,2
720,dozer_s_001050.png,89,19
721,built_in_bed_s_001896.png,5,6
722,boy_s_000058.png,11,14
723,school_bus_s_001733.png,13,18
724,raccoon_s_002690.png,66,12
725,river_otter_s_001146.png,55,0
726,camel_s_000550.png,15,11
727,poppy_s_002772.png,62,2
728,sorex_araneus_s_000247.png,74,16
729,elephant_s_002146.png,31,11
730,sea_turtle_s_000716.png,93,15
731,pine_tree_s_002529.png,59,17
732,goldfish_s_002650.png,1,1
733,wolf_cub_s_000001.png,97,8
734,flounder_s_000775.png,32,1
735,computer_keyboard_s_000890.png,39,5
736,power_mower_s_000250.png,41,19
737,poppy_s_001857.png,62,2
738,adriatic_s_001680.png,71,10
739,rose_s_000257.png,70,2
740,woman_s_000060.png,98,14
741,power_mower_s_001166.png,41,19
742,leopard_s_000662.png,42,8
743,rose_s_001882.png,70,2
744,bear_cub_s_000624.png,3,8
745,sweater_girl_s_000940.png,35,14
746,car_train_s_000082.png,90,18
747,clock_s_001539.png,22,5
748,harvest_mouse_s_000194.png,50,16
749,plate_iron_s_000997.png,61,3
750,raccoon_s_002698.png,66,12
751,tulip_s_000947.png,92,2
752,valencia_orange_s_000601.png,53,4
753,drawbridge_s_001664.png,12,9
754,breakfast_table_s_000556.png,84,6
755,forest_s_000992.png,33,10
756,bosc_s_000407.png,57,4
757,turtle_s_001718.png,93,15
758,spider_s_001497.png,79,13
759,research_rocket_s_000539.png,69,19
760,navel_orange_s_000143.png,53,4
761,whiskey_jug_s_000277.png,9,3
762,bos_taurus_s_000619.png,19,11
763,honeybee_s_000310.png,6,7
764,armchair_s_001136.png,20,6
765,skyscraper_s_000934.png,76,9
766,built_in_bed_s_000502.png,5,6
767,black_woman_s_000960.png,98,14
768,tulip_s_001325.png,92,2
769,hognose_snake_s_001663.png,78,15
770,sea_turtle_s_002009.png,93,15
